180,Johnny English Strikes Again,"Oct 26, 2018",Focus Features,Comedy,"$4,412,170","491,881"
181,If Beale Street Could Talk,"Dec 14, 2018",Annapurna Pictures,Drama,"$4,409,248","491,554"
182,Blindspotting,"Jul 20, 2018",Lionsgate,Drama,"$4,333,394","483,099"
183,Gotti,"Jun 15, 2018",Vertical Entertai…,Drama,"$4,286,367","477,855"
184,Ya Veremos,"Aug 31, 2018",Lionsgate,Drama,"$4,165,949","464,431"
185,Simmba,"Dec 28, 2018",Reliance Entertai…,Action,"$4,115,790","458,839"
186,Life Itself,"Sep 21, 2018",Amazon Studios,Drama,"$4,095,431","456,569"
187,Thor: Ragnarok,"Nov 3, 2017",Walt Disney,Action,"$3,833,139","427,328"
188,On the Basis of Sex,"Dec 25, 2018",Focus Features,Drama,"$3,707,849","413,361"
189,Gosnell: The Trial of Ameri…,"Oct 12, 2018",GVN Releasing,Drama,"$3,679,893","410,244"
190,Indivisible,"Oct 26, 2018",Pure Flix Enterta…,Drama,"$3,511,417","391,462"
191,2018 Oscar Shorts,"Feb 9, 2018",ShortsHD,Multiple Genres,"$3,508,777","391,168"
192,Disobedience,"Apr 27, 2018",Bleecker Street,Drama,"$3,480,702","388,038"
193,Justice League,"Nov 17, 2017",Warner Bros.,Action,"$3,478,000","387,737"
194,First Reformed,"May 18, 2018",A24,Thriller/Suspense,"$3,448,256","384,420"
195,"Juliet, Naked","Aug 17, 2018",Roadside Attractions,Romantic Comedy,"$3,444,895","384,046"
196,Bad Samaritan,"May 4, 2018",Electric Entertai…,Thriller/Suspense,"$3,424,744","381,799"
197,The Disaster Artist,"Dec 1, 2017",A24,Comedy,"$3,258,821","363,302"
198,2001: A Space Odyssey,"Apr 2, 1968",MGM,Adventure,"$3,236,321","360,794"
199,The Leisure Seeker,"Mar 9, 2018",Sony Pictures Cla…,Drama,"$3,224,126","359,434"
200,7 Days in Entebbe,"Mar 16, 2018",Focus Features,Thriller/Suspense,"$3,189,220","355,542"
201,The Sisters Brothers,"Sep 21, 2018",Annapurna Pictures,Western,"$3,143,056","350,396"
202,Thoroughbreds,"Mar 9, 2018",Focus Features,Drama,"$3,072,605","342,542"
203,Sgt. Stubby: An American Hero,"Apr 13, 2018",Fun Academy Motio…,Adventure,"$3,054,285","340,500"
204,Whitney,"Jul 6, 2018",Roadside Attractions,Documentary,"$3,026,558","337,408"
